eta,questions,retrieval_hit_questions,mean_recall,mean_redundancy,mean_delta_q,p95_delta_q,selection_changes_vs_eta0,mean_energy
0.0,200,156,0.4343822346174456,0.7829672618555952,0.0,0.0,0,-49.38173720416012
0.05,200,156,0.4343822346174456,0.7829672618555952,0.0007376854672069219,0.0028032463821900944,0,-49.37573650172024
0.1,200,156,0.4343822346174456,0.7829672618555952,0.0014753709344138438,0.005606492764380189,0,-49.36973579928037
0.25,200,156,0.4343822346174456,0.7829672618555952,0.0036884273360346088,0.014016231910950474,1,-49.351733691960725
0.5,200,156,0.4327796705148815,0.7826231066108383,0.0073768546720692175,0.028032463821900947,1,-49.32175759081845
1.0,200,156,0.4327796705148815,0.7818845847786701,0.014753709344138435,0.056064927643801894,3,-49.26205073467873
2.0,200,156,0.4327796705148815,0.781085238631949,0.02950741868827687,0.11212985528760379,8,-49.1429277509075
4.0,200,156,0.4327796705148815,0.7810710748551516,0.05901483737655374,0.22425971057520758,9,-48.90528050404142
