configuration,question_id,plugin,mode,elapsed_ms,input_norm,output_norm,delta_norm
qore_as_control,nq_0,baseline,replace,0.9590170000137732,0.0,6.135808830193063,6.135808830193063
qore_as_control,nq_1,baseline,replace,0.17811399993661325,0.0,5.8207139294233725,5.8207139294233725
qore_as_control,nq_2,baseline,replace,0.16455900004075374,0.0,4.985848299416998,4.985848299416998
qore_as_control,nq_3,baseline,replace,0.153477999901952,0.0,6.366249080164166,6.366249080164166
qore_as_control,nq_4,baseline,replace,0.15802699999767356,0.0,6.257234247101976,6.257234247101976
qore_as_control,nq_5,baseline,replace,0.1541359999919223,0.0,6.2221211342846585,6.2221211342846585
qore_as_control,nq_6,baseline,replace,0.1551220000237663,0.0,6.429793569840613,6.429793569840613
qore_as_control,nq_7,baseline,replace,0.15033299996503047,0.0,6.5417899531358,6.5417899531358
qore_as_control,nq_8,baseline,replace,0.15356299991253763,0.0,5.248143031930132,5.248143031930132
qore_as_control,nq_9,baseline,replace,0.15475999998670886,0.0,5.830538597290635,5.830538597290635
qore_as_control,nq_10,baseline,replace,0.15337700006057275,0.0,5.61350215180187,5.61350215180187
qore_as_control,nq_11,baseline,replace,0.15000200005488296,0.0,5.445326270857907,5.445326270857907
qore_as_control,nq_12,baseline,replace,0.14829199994892406,0.0,5.7230596058062995,5.7230596058062995
qore_as_control,nq_13,baseline,replace,0.1525100001344981,0.0,5.38532500493756,5.38532500493756
qore_as_control,nq_14,baseline,replace,0.14812900008109864,0.0,5.922827625359093,5.922827625359093
qore_as_control,nq_15,baseline,replace,0.16078099997685058,0.0,5.047601970788997,5.047601970788997
qore_as_control,nq_16,baseline,replace,0.15236300009746628,0.0,5.896591290936628,5.896591290936628
qore_as_control,nq_17,baseline,replace,0.1635379999243014,0.0,5.8548127858504815,5.8548127858504815
qore_as_control,nq_18,baseline,replace,0.14585200005967636,0.0,5.912317829364883,5.912317829364883
qore_as_control,nq_19,baseline,replace,0.14555099983226683,0.0,5.840914612997901,5.840914612997901
qore_as_control,nq_20,baseline,replace,0.14741800009687722,0.0,6.226407562629137,6.226407562629137
qore_as_control,nq_21,baseline,replace,0.17987499995797407,0.0,4.885628708346163,4.885628708346163
qore_as_control,nq_22,baseline,replace,0.14935399985915865,0.0,5.620821355351026,5.620821355351026
qore_as_control,nq_23,baseline,replace,0.16392500015172118,0.0,6.068042958769134,6.068042958769134
qore_as_control,nq_24,baseline,replace,0.16998999990391894,0.0,5.893169056342089,5.893169056342089
qore_as_control,nq_25,baseline,replace,0.14870199993310962,0.0,5.848764153441528,5.848764153441528
qore_as_control,nq_26,baseline,replace,0.15104299995982728,0.0,4.986708096822563,4.986708096822563
qore_as_control,nq_27,baseline,replace,0.15401399991787912,0.0,4.915882879307239,4.915882879307239
qore_as_control,nq_28,baseline,replace,0.15559000007669965,0.0,6.204271475393632,6.204271475393632
qore_as_control,nq_29,baseline,replace,0.16291499991893943,0.0,6.285324306884681,6.285324306884681
qore_as_control,nq_30,baseline,replace,0.1482510001551418,0.0,5.809781813109233,5.809781813109233
qore_as_control,nq_31,baseline,replace,0.14995099991210736,0.0,5.524472587342014,5.524472587342014
qore_as_control,nq_32,baseline,replace,0.1545249999708176,0.0,5.862571017357121,5.862571017357121
qore_as_control,nq_33,baseline,replace,0.16380699980800273,0.0,4.867174175356701,4.867174175356701
qore_as_control,nq_34,baseline,replace,0.15698900006100303,0.0,6.024542786201981,6.024542786201981
qore_as_control,nq_35,baseline,replace,0.18524799997976515,0.0,5.934870435840898,5.934870435840898
qore_as_control,nq_36,baseline,replace,0.17574599996805773,0.0,5.9710915868958025,5.9710915868958025
qore_as_control,nq_37,baseline,replace,0.17284499995184888,0.0,5.310261010857203,5.310261010857203
qore_as_control,nq_38,baseline,replace,0.16742599996177887,0.0,6.1879849319810445,6.1879849319810445
qore_as_control,nq_39,baseline,replace,0.16345299991371576,0.0,6.259572322917376,6.259572322917376
qore_as_control,nq_40,baseline,replace,0.18315900001653063,0.0,6.329407904109478,6.329407904109478
qore_as_control,nq_41,baseline,replace,0.19281599998066667,0.0,5.956386929958668,5.956386929958668
qore_as_control,nq_42,baseline,replace,0.16917099992497242,0.0,5.977592187833619,5.977592187833619
