configuration,samples,retrieval_hits,mean_recall,std_recall,mean_f1,std_f1,mean_em,std_em,mean_redundancy,std_redundancy,mean_selection_time_ms,std_selection_time_ms,mean_generation_time_ms,std_generation_time_ms
qore_dpr,200,156,0.31956769694049453,0.27581168288338237,0.4406071428571428,0.41260710816540325,0.25,0.4330127018922193,0.8089806482606636,0.07047614530493279,11.671401329996343,1.1100180321497135,246.21717760500246,73.72911375202878
qore_as_control,200,156,0.4343822346174457,0.317855523883797,0.4949920634920635,0.40495877868477237,0.275,0.4465142774872938,0.7829672618555952,0.07528244187356357,11.287136324999665,0.25007346900674426,241.2809221750024,69.74679667257986
qore_as_idea6,200,156,0.4454174244987894,0.3128792330686198,0.5091911976911977,0.40793895526305957,0.295,0.45604276115294273,0.7876423448862377,0.07342775029864029,1194.061623694998,26.66159884484707,243.89839678500152,64.35053008670401
topk_as,200,156,0.5098157335803564,0.3373455595858269,0.4926111111111111,0.4079076204181071,0.28,0.44899888641287294,0.8232818045469592,0.0655661071890072,0.12131383999872014,0.04626391662852801,244.28396834498812,77.11707955374213
mmr_as,200,156,0.4566232425202183,0.32446866581712663,0.48557142857142854,0.4069603597918659,0.275,0.4465142774872938,0.7967964760706612,0.08122136478481162,0.8527511049987879,0.28673477196773267,241.08760098999258,70.12406969434429
