configuration,samples,retrieval_hits,mean_recall,std_recall,mean_f1,std_f1,mean_em,std_em,mean_redundancy,std_redundancy,mean_selection_time_ms,std_selection_time_ms,mean_generation_time_ms,std_generation_time_ms
qore_as_control,200,156,0.4343822346174457,0.317855523883797,0.4949920634920635,0.40495877868477237,0.275,0.4465142774872938,0.7829672618555952,0.07528244187356357,11.366292725006133,1.0916026123091305,237.06012523499936,74.58253799651622
submodular_as,200,156,0.4591255468607579,0.3186659846110306,0.48280158730158734,0.4082086294376838,0.275,0.4465142774872938,0.7956183141775555,0.07928794431058189,0.9438798049967545,0.3474356945124684,238.40574036999897,71.11530294732773
topk_as,200,156,0.5098157335803564,0.3373455595858269,0.4926111111111111,0.4079076204181071,0.28,0.44899888641287294,0.8232818045469592,0.0655661071890072,0.12613312500150187,0.042286699097299194,237.85812076999548,76.41025359404422
mmr_as,200,156,0.4566232425202183,0.32446866581712663,0.48557142857142854,0.4069603597918659,0.275,0.4465142774872938,0.7967964760706612,0.08122136478481162,0.8860795850017666,0.2513406755759201,238.68587598499744,72.90883271437221
