💾 Output directory: /root/QORE-VLM/exchange/idea7_phase2/20260731T111232/training
📚 Loading training data from /root/QORE-VLM/exchange/idea7_phase2/20260731T111232/data_prep/result.json
   Loaded 141 valid samples
   Train: 112, Val: 29
🖥️  Device: cuda
🧠 Model: LearnableQUBO

🚀 Starting training for 100 epochs
Epoch  45/100 | T=0.487 | Loss=-0.0525 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.016 | w_b=1.000
Epoch  46/100 | T=0.475 | Loss=-0.0671 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.862 | w_b=1.000
Epoch  47/100 | T=0.463 | Loss=-0.0728 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.715 | w_b=1.000
Epoch  48/100 | T=0.452 | Loss=-0.0735 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.613 | w_b=1.000
Epoch  49/100 | T=0.440 | Loss=-0.0182 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.483 | w_b=1.000
Epoch  50/100 | T=0.428 | Loss=-0.0841 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.067 | w_b=1.000
Epoch  51/100 | T=0.417 | Loss=-0.0477 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.917 | w_b=1.000
Epoch  52/100 | T=0.405 | Loss=-0.0784 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.854 | w_b=1.000
Epoch  53/100 | T=0.393 | Loss=-0.0664 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.838 | w_b=1.000
Epoch  54/100 | T=0.382 | Loss=-0.0861 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.692 | w_b=1.000
Epoch  55/100 | T=0.370 | Loss=-0.0587 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.789 | w_b=1.000
Epoch  56/100 | T=0.358 | Loss=-0.0692 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.707 | w_b=1.000
Epoch  57/100 | T=0.347 | Loss=-0.0868 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.735 | w_b=1.000
Epoch  58/100 | T=0.335 | Loss=-0.0619 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.549 | w_b=1.000
Epoch  59/100 | T=0.323 | Loss=-0.0591 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.503 | w_b=1.000
Epoch  60/100 | T=0.312 | Loss=-0.0509 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.437 | w_b=1.000
Epoch  61/100 | T=0.300 | Loss=-0.0876 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.432 | w_b=1.000
Epoch  62/100 | T=0.300 | Loss=-0.0633 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.593 | w_b=1.000
Epoch  63/100 | T=0.300 | Loss=-0.0549 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.611 | w_b=1.000
Epoch  64/100 | T=0.300 | Loss=-0.0453 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.888 | w_b=1.000
Epoch  65/100 | T=0.300 | Loss=-0.0502 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.964 | w_b=1.000
Epoch  66/100 | T=0.300 | Loss=-0.0742 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.728 | w_b=1.000
Epoch  67/100 | T=0.300 | Loss=-0.0805 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.580 | w_b=1.000
Epoch  68/100 | T=0.300 | Loss=-0.0593 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.625 | w_b=1.000
Epoch  69/100 | T=0.300 | Loss=-0.0850 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.414 | w_b=1.000
Epoch  70/100 | T=0.300 | Loss=-0.0582 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.279 | w_b=1.000
Epoch  71/100 | T=0.300 | Loss=-0.0427 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.430 | w_b=1.000
Epoch  72/100 | T=0.300 | Loss=-0.0767 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.409 | w_b=1.000
Epoch  73/100 | T=0.300 | Loss=-0.1057 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.241 | w_b=1.000
Epoch  74/100 | T=0.300 | Loss=-0.0752 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.293 | w_b=1.000
Epoch  75/100 | T=0.300 | Loss=-0.0738 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.341 | w_b=1.000
Epoch  76/100 | T=0.300 | Loss=-0.0956 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.254 | w_b=1.000
Epoch  77/100 | T=0.300 | Loss=-0.0506 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.364 | w_b=1.000
Epoch  78/100 | T=0.300 | Loss=-0.0489 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.158 | w_b=1.000
Epoch  79/100 | T=0.300 | Loss=-0.0593 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.459 | w_b=1.000
Epoch  80/100 | T=0.300 | Loss=-0.0875 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.367 | w_b=1.000
Epoch  81/100 | T=0.300 | Loss=-0.0973 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.476 | w_b=1.000
Epoch  82/100 | T=0.300 | Loss=-0.0872 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.419 | w_b=1.000
Epoch  83/100 | T=0.300 | Loss=-0.0634 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.270 | w_b=1.000
Epoch  84/100 | T=0.300 | Loss=-0.0558 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.416 | w_b=1.000
Epoch  85/100 | T=0.300 | Loss=-0.0336 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.507 | w_b=1.000
Epoch  86/100 | T=0.300 | Loss=-0.0417 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.618 | w_b=1.000
Epoch  87/100 | T=0.300 | Loss=-0.0458 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.801 | w_b=1.000
Epoch  88/100 | T=0.300 | Loss=-0.0616 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.693 | w_b=1.000
Epoch  89/100 | T=0.300 | Loss=-0.0785 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.537 | w_b=1.000
Epoch  90/100 | T=0.300 | Loss=-0.0709 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.466 | w_b=1.000
Epoch  91/100 | T=0.300 | Loss=-0.0587 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.457 | w_b=1.000
Epoch  92/100 | T=0.300 | Loss=-0.0770 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.440 | w_b=1.000
Epoch  93/100 | T=0.300 | Loss=-0.0799 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.390 | w_b=1.000
Epoch  94/100 | T=0.300 | Loss=-0.0656 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.463 | w_b=1.000
Epoch  95/100 | T=0.300 | Loss=-0.0665 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.445 | w_b=1.000
Epoch  96/100 | T=0.300 | Loss=-0.0676 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.285 | w_b=1.000
Epoch  97/100 | T=0.300 | Loss=-0.0513 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.398 | w_b=1.000
Epoch  98/100 | T=0.300 | Loss=-0.0718 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.432 | w_b=1.000
Epoch  99/100 | T=0.300 | Loss=-0.0722 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.462 | w_b=1.000
Epoch 100/100 | T=0.300 | Loss=-0.0453 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.815 | w_b=1.000

✅ Training complete!
   Best validation Recall: 1.0000
   Model saved to: /root/QORE-VLM/exchange/idea7_phase2/20260731T111232/training/best_model.pt
