configuration,samples,retrieval_hits,retrieval_failures,recall_at_5,recall_at_5_std,redundancy,redundancy_std,em,em_std,f1,f1_std
qore_dpr,200,156,44,0.3196,0.2758,0.8090,0.0705,0.2500,0.4330,0.4406,0.4126
qore_as_control,200,156,44,0.4344,0.3179,0.7830,0.0753,0.2750,0.4465,0.4950,0.4050
qore_as_idea6,200,156,44,0.4454,0.3129,0.7876,0.0734,0.2950,0.4560,0.5092,0.4079
topk_as,200,156,44,0.5098,0.3373,0.8233,0.0656,0.2800,0.4490,0.4926,0.4079
mmr_as,200,156,44,0.4566,0.3245,0.7968,0.0812,0.2750,0.4465,0.4856,0.4070
