configuration,samples,retrieval_hits,mean_recall,std_recall,mean_f1,std_f1,mean_em,std_em,mean_redundancy,std_redundancy,mean_selection_time_ms,std_selection_time_ms,mean_generation_time_ms,std_generation_time_ms
qore_as_control,200,156,0.4343822346174457,0.317855523883797,0.4949920634920635,0.40495877868477237,0.275,0.4465142774872938,0.7829672618555952,0.07528244187356357,11.493308460002822,1.0596174581811872,239.0369420899998,76.37348490014564
mobius_pairwise,200,156,0.4345604573918223,0.3087709584847839,0.5020396825396826,0.40885528605577803,0.285,0.4514144437210666,0.7833931037553995,0.07236263667654518,851.3313813200017,32.426734357464426,243.80871621499864,66.45929528420828
mobius_disabled,200,156,0.4343822346174457,0.317855523883797,0.4949920634920635,0.40495877868477237,0.275,0.4465142774872938,0.7829672618555952,0.07528244187356357,11.597113110003079,0.32227354866827573,240.5436121799977,71.29882165205511
