tau,questions,gold_in_pool_questions,mean_control_gold_hits,mean_oracle_gold_hits,mean_gold_hits,mean_gold_recall,mean_oracle_gap,oracle_gap_closed_fraction,selection_changes,mean_selected_gold_gain,mean_redundancy,mean_uncertainty_gold,mean_uncertainty_non_gold
0.0,200,152,1.76,2.67,1.76,0.414629884004884,0.91,0.0,0,0.0,0.7829672618555952,0.19874110066372214,0.29618225999173975
0.05,200,152,1.76,2.67,1.755,0.41487988400488407,0.91,0.005494505494505495,17,-0.005,0.783886524013628,0.19874110066372214,0.29618225999173975
0.1,200,152,1.76,2.67,1.735,0.40599526862026863,0.91,0.01098901098901099,37,-0.025,0.7846916661525989,0.19874110066372214,0.29618225999173975
0.2,200,152,1.76,2.67,1.695,0.39206440781440777,0.91,0.027472527472527472,70,-0.065,0.783648942325432,0.19874110066372214,0.29618225999173975
0.5,200,152,1.76,2.67,1.6,0.36947115384615387,0.91,0.06043956043956044,126,-0.16,0.782156841072269,0.19874110066372214,0.29618225999173975
1.0,200,152,1.76,2.67,1.52,0.3502927627927627,0.91,0.09340659340659341,155,-0.24,0.7803524007966817,0.19874110066372214,0.29618225999173975
2.0,200,152,1.76,2.67,1.43,0.3283823537573538,0.91,0.09340659340659341,174,-0.33,0.7745239217384445,0.19874110066372214,0.29618225999173975
