configuration,samples,retrieval_hits,mean_recall,std_recall,mean_f1,std_f1,mean_em,std_em,mean_redundancy,std_redundancy,mean_selection_time_ms,std_selection_time_ms,mean_generation_time_ms,std_generation_time_ms
qore_as_control,200,156,0.4343822346174457,0.317855523883797,0.4949920634920635,0.40495877868477237,0.275,0.4465142774872938,0.7829672618555952,0.07528244187356357,11.521534305002774,0.9562527827185137,242.52748922500245,75.82143730004931
spectral_dpp_as,200,156,0.4465104794662788,0.3117247435913702,0.4831111111111111,0.410835172455672,0.275,0.4465142774872938,0.792184670729736,0.0774577921336281,4.7385348199986765,0.952238806042967,246.42744518999848,77.26323734786497
topk_as,200,156,0.5098157335803564,0.3373455595858269,0.4926111111111111,0.4079076204181071,0.28,0.44899888641287294,0.8232818045469592,0.0655661071890072,0.14003295000179605,0.049158716402452445,252.23420927500342,79.96028095985695
mmr_as,200,156,0.4566232425202183,0.32446866581712663,0.48557142857142854,0.4069603597918659,0.275,0.4465142774872938,0.7967964760706612,0.08122136478481162,0.8939863750009636,0.2136720184130377,246.3984367449939,72.43685215708953
